surname,district,past_local,present_local,past_national,present_national,raw_total
ตรีรัตน์ณรงค์,เชียงราย,0,0,1,0,6
ซูสารอ,ปัตตานี,1,0,1,1,6
เลี้ยงผ่องพันธุ์,บุรีรัมย์,0,0,1,0,6
เลิศไกร,สุราษฎร์ธานี,0,0,1,1,5
อังคสกุลเกียรติ,ศรีสะเกษ,1,0,1,1,5
คลังแสง,มหาสารคาม,1,0,1,1,5
ตันเถียร กุลจรรยาวิวัฒน์,พังงา,0,0,1,1,5
พานิชภักดิ์,กรุงเทพมหานคร,0,0,1,0,5
เสนพงศ์,นครศรีธรรมราช,1,0,1,1,5
คานเขต,ยโสธร,0,0,1,0,5
หิรัญโชติ,ร้อยเอ็ด,0,0,1,0,5
เสรีรักษ์,แพร่,0,0,1,0,5
พลบุตร,จันทบุรี,0,0,1,0,5
โสณกุล,กรุงเทพมหานคร,0,0,1,1,5
มฤคพิทักษ์,กรุงเทพมหานคร,0,0,1,0,5
พิทยาภรณ์,นครราชสีมา,0,0,1,1,5
จันทร์สว่าง,สุพรรณบุรี,1,0,1,0,5
อิสระเสนารักษ์,นครนายก,1,0,1,0,5
จาติกวาณิช,กรุงเทพมหานคร,0,0,1,1,5
บุรณศิริ,พระนครศรีอยุธยา,0,0,1,0,5
บูรณุปกรณ์,เชียงใหม่,1,0,1,1,5
งามพิเชษฐ์,ชลบุรี,0,0,1,0,5
โรจนเสถียร,นครสวรรค์,0,0,1,0,5
เรืองกาญจนเศรษฐ์,สุรินทร์,0,0,1,0,5
เกียรติก้องชูชัย,ชัยภูมิ,0,0,1,1,5
ประภากรแก้วรัตน์,ชัยภูมิ,0,0,1,0,5
ประสพดี,สมุทรปราการ,0,0,1,0,5
ปราศจากศัตรู,แพร่,0,0,1,1,5
ปะติเส,มหาสารคาม,1,0,1,0,5
ตั้งภากรณ์,นครสวรรค์,0,0,1,0,5
ปัทมสิริวัฒน์,พิษณุโลก,0,0,1,0,5
ปั้นทอง,กรุงเทพมหานคร,0,0,1,1,5
ปาน้อยนนท์,ประจวบคีรีขันธ์,0,0,1,1,5
อุประ,สกลนคร,0,0,1,1,5
ฝ้ายสีงาม,อุดรธานี,1,0,1,1,5
เลิศนุวัฒน์,กรุงเทพมหานคร,0,0,1,1,5
ตั้งศรีเกียรติกุล,บุรีรัมย์,0,0,1,0,5
พงษ์มณี,ลำพูน,0,0,1,1,5
